name	points	effect_name	description
Fire Res	10	Fire Res +15	Increases fire resistance by 15.
Fire Res	15	Fire Res +20	Increases fire resistance by 20.
Fire Res	-10	Fire Res -20	Decreases fire resistance by 20.
Water Res	10	Water Res +15	Increases water resistance by 15.
Water Res	15	Water Res +20	Increases water resistance by 20.
Water Res	-10	Water Res -20	Decreases water resistance by 20.
ThunderRes	10	Thunder Res +15	Increases thunder resistance by 15.
ThunderRes	15	Thunder Res +20	Increases thunder resistance by 20.
ThunderRes	-10	Thunder Res -20	Decreases thunder resistance by 20.
Ice Res	10	Ice Res +15	Increases ice resistance by 15.
Ice Res	15	Ice Res +20	Increases ice resistance by 20.
Ice Res	-10	Ice Res -20	Decreases ice resistance by 20.
Dragon Res	10	Dragon Res +15	Increases dragon resistance by 15.
Dragon Res	15	Dragon Res +20	Increases dragon resistance by 20.
Dragon Res	-10	Dragon Res -20	Decreases dragon resistance by 20.
Sharpness	10	Razor Sharp	Halves the rate at which your weapon loses sharpness.
Sharpness	-10	Blunt Edge	Doubles the rate at which your weapon loses sharpness.
Handicraft	10	Sharpness +1	Increases your weapon's sharpness by one level.
Fencing	10	Mind's Eye	Prevents your attacks from being deflected.
Sharpener	10	Speed Sharpening	Sharpening finishes in once scrape instead of three.
Sharpener	-10	Slow Sharpening	Sharpneing finishes in five scrapes insteadof three.
Crit Draw	10	Critical Draw	Increases affinity of unsheathing attack to +100%.
PunishDraw	10	Punishing Draw	Adds impact damage to all unsheathing attacks.
Reload Spd	10	Reload Speed +1	Bowgun reloading is slightly faster; bow coating application is decreased by 25%.
Reload Spd	15	Reload Speed +2	Bowgun reloading is faster; bow coating is instantly applied.
Reload Spd	20	Reload Speed +3	Bowgun reloading is significantly faster; bow coating is instantly applied.
Reload Spd	-10	Reload Speed -1	"Bowgun reloading is slightly lower, bow coating application time increased by 10%."
Reload Spd	-15	Reload Speed -2	"Bowgun reloading is slower, bow coating application time increased by 20%."
Reload Spd	-20	Reload Speed -3	"Bowgun reloading is significantly slower, bow coating application time increased by 30%."
Loading	10	Load Up	An extra bullet can be loaded into bowguns and gunlances and charge level of bows is increased by 1.
Rapid Fire	10	Bonus Shot	Allows one extra shot to be fired while rapid firing.
Recoil	10	Recoil Down +1	1x decrease in recoil while shooting.
Recoil	15	Recoil Down +2	2x decrease in recoil while shooting.
Recoil	20	Recoil Down +3	3x decrease in recoil while shooting.
Recoil	-10	Recoil Down -1	1x increase in recoil while shooting.
Recoil	-15	Recoil Down -2	2x increase in recoil while shooting.
Recoil	-20	Recoil Down -3	3x increase in recoil while shooting.
Precision	10	Steadiness +1	Decreases deviation while aiming.
Precision	15	Steadiness +2	Negates deviation while aiming.
Precision	-10	Steadiness -1	Increases deviation while aiming.
Precision	-15	Steadiness -2	Greatly increases deviation while aiming.
Normal Up	10	Normal/Rapid Up	Normal S and rapid arrow attack power increased by 10%.
Pierce Up	10	Pierce/Pierce Up	Pierce S and pierce arrow attack power increased by 10%.
Pellet Up	10	Pellet/Spread Up	"Pellet S and attack power is increased by 20%, spread arrow attack power increased by 30%."
Normal S+	10	Use Any Normal S	Allows any normal shots (Normal S) to be loaded.
Pierce S+	10	Use LV1 Pierce S	Allows LV1 pierce shots (Pierce S) to be loaded.
Pierce S+	15	Use Any Pierce S	Allows any pierce shots (Pierce S) to be loaded.
Pellet S+	10	Use LV1 Pellet S	Allows LV1 pellet shots (Pellet S) to be loaded.
Pellet S+	15	Use Any Pellet S	Allows any pellet shots (Pellet S) to be loaded.
Crag S+	10	Use LV1 Crag S	Allows LV1 crag shots (Crag S) to be loaded.
Crag S+	15	Use Any Crag S	Allows any crag shots (Crag S) to be loaded.
Clust S+	10	Use LV1 Clust S	Allows LV1 clust shots (Clust S) to be loaded.
Clust S+	15	Use Any Clust S	Allows any clust shots (Clust S) to be loaded.
Slicing S+	10	Use Slicing S	Allows slicing shots (Slice S) to be loaded.
Slime S+	10	Use Slime S	Allows slime shots (Slime S) to be loaded.
Poison C+	10	Use Poison Coat	Allows poison coating to be applied.
Para C+	10	Use Para Coat	Allows paralize coating to be applied.
Sleep C+	10	Use Sleep Coat	Allows sleep coating to be applied.
Power C+	10	Use Power Coat	Allows power coating to be applied.
C.Range C+	10	Use C.Range Coat	Allows close range coating to be applied.
Exhaust C+	10	Use Exhaust Coat	Allows exhaust coating to be applied.
Slime C+	10	Use Slime Coat	Allows slime coating to be applied.
Maestro	10	Horn Maestro	Horn items break less often and hunting horn melodies last longer.
Artillery	10	Artillery Novice	"Ballista, cannon, gunlance and wyvern attack power is increased by 10%, Crag S power increased by 10%."
Artillery	15	Artillery Expert	"Ballista, cannon, gunlance and wyvern attack power is increased by 20%, Crag S power increased by 30%. Wyvernfire can be used every 90 seconds instead of 120 seconds."
Bomb Boost	10	Bombardier	"Bomb damage is increased by 30%, including Slime S and Slime Coating, and combination rate is increased to 100%."
Rec Level	10	Recovery Up	Effectiveness of health recovery items increased by 25%.
Rec Level	-10	Recovery Down	Effectiveness of health recovery items decreased by 25%.
Wide-Range	10	Wide-Range +1	The effect of certain items is transferred to companions in the same area at decreased efficacy.
Wide-Range	20	Wide-Range +2	The effect of certain items is transferred to companions in the same area at normal efficacy.
LastingPwr	10	Item Use Up	Increase effect time of certain times by 1.5x.
LastingPwr	-10	Item Use Down	Decrease effect time of certain items by 33%.
Hunger	10	Halve Hunger	Halves maximum stamina depletion speed.
Hunger	15	Negate Hunger	Stamina never depletes.
Hunger	-10	Raise Hunger	Raises maximum stamina depletion speed by 50%.
Hunger	-15	Double Hunger	Doubles maximum stamina depletion speed.
Gluttony	10	Gourmand	Effectiveness of stamina increasing items is increased 25% of the time.
Gluttony	15	Scavenger	Effectiveness of stamina increasing items is increased. 33% chance of health recovery items increasing stamina.
Eating	10	Speed Eating +1	Increases meat- and item-consuming speed.
Eating	15	Speed Eating +2	Increases meat- and item-consuming speed of additional items.
Eating	-10	Slow Eater	Increases meat- and item-consuming speed.
Carnivore	10	Meat Lover	"Eating raw meat increases stamina by 50; eating rare/well-done steak, cool meat or hot meat stops stamina gauge from decreasing for one minute."
Combo Rate	10	Combination +20%	Increases success rate of item combination by 20%.
Combo Rate	15	Combination + 45%	Increases success rate of item combination by 45%.
Combo Rate	-10	Combination -10%	Decreases success rate of item combination by 10%.
Combo Rate	-15	Combination -20%	Decreases success rate of item combination by 20%.
Combo Plus	10	Combination Pro	Always gives the maximum possible items given by a combination.
Gathering	10	Gathering +1	Sometimes increases chances of gaining items from gathering points.
Gathering	15	Gathering +2	Often increases chances of gaining items from gathering points.
Gathering	-10	Gathering -1	Decreases chances of gaining items from gathering points.
Spd Gather	10	Speed Gatherer	"Increases carving, gathering, bug catching, and mining speed."
Whim	10	Spirit's Whim	"Decreases likelihood of pickaxe, bug nets, boomerangs, harpoons, and horns breaking by 25%."
Whim	15	Divine Whim	"Decreases likelihood of pickaxe, bug nets, boomerangs, harpoons, and horns breaking by 50%."
Whim	-10	Spectre's Whim	"Increases likelihood of pickaxe, bug nets, boomerangs, harpoons, and horns breaking by 25%."
Whim	-15	Devil's Whim	"Increases likelihood of pickaxe, bug nets, boomerangs, harpoons, and horns breaking by 50%."
Honey	10	Honey Hunter	"When gathering honey or royal honey from a hive or altaroth, two units will be gathered."
Charmer	10	Charm Chaser	"When a talisman is discovered during mining, there is 20% chance that two will be gathered."
Fate	10	Good Luck	Occasionally increases number of reward items received.
Fate	15	Great Luck	Often increases number of reward items received.
Fate	-10	Bad Luck	Occasionally decreases number of reward items received.
Fate	-15	Horrible Luck	Often decreases number of reward items received.
Carving	10	Carving Pro	Prevents carving from being interrupted from anything but wind pressure.
Carving	15	Carving Master	Prevents carving from being interrupted from anything but wind pressure and increases number of carves by 1.
Tranquilizr	10	Capture Expert	Increases likelihood of obtaining more reward items for captured large monsters.
Tranquilizr	15	Capture Master	Significantly increases likelihood of obtaining more reward items for captured large monsters.
Perception	10	Capture Guru	Painted monster will change colors when they can be captured.
Psychic	10	Detect	66% chance of displaying unpainted monster's location every 5 minutes; increases amount of information shown when monster is painted.
Psychic	15	Autotracker	Automatically displays location of monster on map without paint.
Transporter	10	Pro Transporter	"Movement speed increased while carrying eggs, powderstones and other large items allows falling from high places without dropping item."
Ranger	10	Outdoorsman	"Improves fishing and cooking results during quests and always displays the map, even without map item."
Anti-Theft	10	Anti-Theft	Items will not be stolen from monsters that can steal items
SpeedSetup	10	Trap Master	Increases speed of setting traps and barrel bombs and increases combination rate when creating items in a quest.
Flame Aura	10	Flame Aura	Causes monsters to react as if you are carrying a torch even when you aren't.
Oxygen	10	Endless Oxygen	Stops depletion of the oxygen gauge.
Oxygen	-10	Short Breath	Increases consumption of the oxygen gauge by 25%.
CurrentRes	10	Current Res (Lo)	Negates some of the water currents caused by large monsters.
CurrentRes	15	Current Res (Hi)	Negates most of the water currents caused by large monsters.
Swimming	10	Olympic Swimmer	Increases movement speed in water.
Swimming	-10	Dog Peddler	Decreases movement speed in water.
Sea Legs	10	Ocean's Blessing	"Grants Current Res (Hi), Olympic swimmer and Endless Oxygen."
Potential	10	Adrenaline +1	Gain 40 defense when health is below 40% of maximum.
Potential	15	Adrenaline +2	Gain 45 defense and 30% attack boost when health is below 40% of maximum.
Potential	-10	Worrywart	Suffer 30% attack penalty and gain 21 defese when health is below 40% of maximum.
Survivor	10	Fortify	"Fainting once increases attack by 10% and defense by 15%, fainting twice increases attack by 20% and defense by 30%. Effect is only applied twice."
Gloves Off	10	Latent Power +1	"After suffering 180 points of damage within 5 minutes, affinity is increased by 30% and stamina consumption is decreased by 50%."
Gloves Off	15	Latent Power +2	"After suffering 180 points of damage within 5 minutes, affinity is increased by 50% and stamina consumption is decreased by 75%."
Spirit	10	Challenger +1	"Attack power is increased by 10 and affinity by 10% when in the same area as an enraged monster,"
Spirit	15	Challenger +2	Attack power is increased by 25 and affinity by 20% when in the same area as an enraged monster.
Unscathed	10	Peak Performance	Increases attack significantly when health is full.
FreeElemnt	10	Awaken	Releases the latent elemental properties in weapons that don't have elements.
Blight Res	10	Blights Negated	"Negates effects of fire, water, thunder, ice, and dragon blights."
Unshakable	10	Rock Steady	"Knockdown effects are reduced, also grants Wind Proof (Lo), Earplugs and Current Res (Lo)."
Guts	10	Guts	"When health is above 64, hunter will survive a single attack that would caue fainting. Only occurs once unless hunter faints."
TeamPlayer	10	Shakalaka Rally	Kayamba and Cha-Cha attack and defense is increased by 10% and stamina recovery is increased by 50%.
TeamLeader	10	Shakalaka Cheer	Kayamba and Cha-Cha will be instantly revived when they are signaled. Only works once every 10 minutes.
Fury	10	Wrath Awoken	At above 40% health guts is activated and while at below 40% health Adrenaline +2 is activated.
Edgemaster	10	Honed Blade	Enables Sharpness +1 and Attack Up (L).
Steadyhand	10	Silver Bullet	"Normal S, Pierce S, rapid and pierce arrows attack increased by 10%, Pellet S attack increased by 20%, spread arrow increased by 30%."
Auto-Guard	10	Auto-Guard	"Attacks are automatically guarded if hunter is not attacking, rolling or using a weapon without guard."
Auto-Guard			
