item	map	area
Mega Fishing Fly	Moga Woods (Night)	3
King Scarab	Moga Woods (Night)	3
Hercudrome	Moga Woods (Night)	3
Godbug	Moga Woods (Night)	3
Worm	Moga Woods (Night)	3
Fossil Piece	Moga Woods (Night)	4
Gloamgrass Bud	Moga Woods (Night)	4
Dragonbone Piece	Moga Woods (Night)	4
Giant Fossil	Moga Woods (Night)	4
Iron Ore	Moga Woods (Night)	4
Earth Crystal	Moga Woods (Night)	4
Stone	Moga Woods (Night)	4
Armor Sphere	Moga Woods (Night)	4
Machalite Ore	Moga Woods (Night)	4
Carbalite Ore	Moga Woods (Night)	4
Armor Sphere+	Moga Woods (Night)	4
Aquaglow Jewel	Moga Woods (Night)	4
Bitterbug	Moga Woods (Night)	4
Flashbug	Moga Woods (Night)	4
Thunderbug	Moga Woods (Night)	4
Mega Fishing Fly	Moga Woods (Night)	4
King Scarab	Moga Woods (Night)	4
Hercudrome	Moga Woods (Night)	4
Insect Husk	Moga Woods (Night)	4
Godbug	Moga Woods (Night)	4
Worm	Moga Woods (Night)	4
Lightcrystal	Moga Woods (Night)	4
Mystery Bone	Moga Woods (Night)	5
Bone	Moga Woods (Night)	5
Unknown Skull	Moga Woods (Night)	5
Monster Bone S	Moga Woods (Night)	5
Bitterbug	Moga Woods (Night)	5
Flashbug	Moga Woods (Night)	5
Thunderbug	Moga Woods (Night)	5
Hercudrome	Moga Woods (Night)	5
Insect Husk	Moga Woods (Night)	5
Godbug	Moga Woods (Night)	5
Worm	Moga Woods (Night)	5
Bone	Moga Woods (Night)	6
Mystery Bone	Moga Woods (Night)	6
Unknown Skull	Moga Woods (Night)	6
Monster Bone S	Moga Woods (Night)	6
Fossil Piece	Moga Woods (Night)	6
Gloamgrass Bud	Moga Woods (Night)	6
Dragonbone Piece	Moga Woods (Night)	6
Odd Egg	Moga Woods (Night)	6
Giant Fossil	Moga Woods (Night)	6
Herb	Moga Woods (Night)	7
Felvine	Moga Woods (Night)	7
Insect Husk	Moga Woods (Night)	7
Whetstone	Moga Woods (Night)	7
Stone	Moga Woods (Night)	7
Blue Mushroom	Moga Woods (Night)	7
Unique Mushroom	Moga Woods (Night)	7
Choice Mushroom	Moga Woods (Night)	7
Iron Ore	Moga Woods (Night)	7
Earth Crystal	Moga Woods (Night)	7
Carbalite Ore	Moga Woods (Night)	7
Bone	Moga Woods (Night)	8
Mystery Bone	Moga Woods (Night)	8
Dung	Moga Woods (Night)	8
Machalite Ore	Moga Woods (Night)	8
Gloamgrass Bud	Moga Woods (Night)	8
Earth Crystal	Moga Woods (Night)	8
Stone	Moga Woods (Night)	8
Armor Sphere	Moga Woods (Night)	8
Carbalite Ore	Moga Woods (Night)	8
Iron Ore	Moga Woods (Night)	8
Whetstone	Moga Woods (Night)	8
Aquaglow Jewel	Moga Woods (Night)	8
Paintberry	Moga Woods (Night)	9
Sap Plant	Moga Woods (Night)	9
Antidote Herb	Moga Woods (Night)	9
Ivy	Moga Woods (Night)	9
Might Seed	Moga Woods (Night)	9
Red Coral Stone	Moga Woods (Night)	10
Broken Shell	Moga Woods (Night)	10
Jumbo Pearl	Moga Woods (Night)	10
Stone	Moga Woods (Night)	10
Worm	Moga Woods (Night)	10
Frog	Moga Woods (Night)	10
Abalone Piece	Moga Woods (Night)	10
Giant Fossil	Moga Woods (Night)	10
Fossil Piece	Moga Woods (Night)	10
Gloamgrass Bud	Moga Woods (Night)	10
Dragonbone Piece	Moga Woods (Night)	10
Earth Crystal	Moga Woods (Night)	10
Machalite Ore	Moga Woods (Night)	10
Bloodrun Jewel	Moga Woods (Night)	10
Dragonite Ore	Moga Woods (Night)	10
Carbalite Ore	Moga Woods (Night)	10
Iron Ore	Moga Woods (Night)	10
Whetstone	Moga Woods (Night)	10
Aquaglow Jewel	Moga Woods (Night)	10
Armor Sphere+	Moga Woods (Night)	10
Lightcrystal	Moga Woods (Night)	10
Sushifish	Moga Woods (Night)	10
Pin Tuna	Moga Woods (Night)	10
Scatterfish	Moga Woods (Night)	10
Small Goldenfish	Moga Woods (Night)	10
Mystic Narwhal	Moga Woods (Night)	10
Whetfish	Moga Woods (Night)	10
Dragonbone Piece	Moga Woods (Night)	11
Giant Fossil	Moga Woods (Night)	11
Bone	Moga Woods (Night)	12
Mystery Bone	Moga Woods (Night)	12
Iron Ore	Moga Woods (Night)	12
Whetstone	Moga Woods (Night)	12
Machalite Ore	Moga Woods (Night)	12
Carbalite Ore	Moga Woods (Night)	12
Aquaglow Jewel	Moga Woods (Night)	12
Pin Tuna	Deserted Island (Low Rank)	0
Whetfish	Deserted Island (Low Rank)	0
Glutton Tuna	Deserted Island (Low Rank)	0
Popfish	Deserted Island (Low Rank)	0
Small Goldenfish	Deserted Island (Low Rank)	0
Herb	Deserted Island (Low Rank)	1
Felvine	Deserted Island (Low Rank)	1
Insect Husk	Deserted Island (Low Rank)	1
Airweed	Deserted Island (Low Rank)	1
Spider Web	Deserted Island (Low Rank)	1
Ivy	Deserted Island (Low Rank)	1
Sap Plant	Deserted Island (Low Rank)	1
Might Seed	Deserted Island (Low Rank)	1
Iron Ore	Deserted Island (Low Rank)	1
Stone	Deserted Island (Low Rank)	1
Earth Crystal	Deserted Island (Low Rank)	1
Whetstone	Deserted Island (Low Rank)	1
Aquaglow Jewel	Deserted Island (Low Rank)	1
Machalite Ore	Deserted Island (Low Rank)	1
Bitterbug	Deserted Island (Low Rank)	1
Flashbug	Deserted Island (Low Rank)	1
Worm	Deserted Island (Low Rank)	1
Silver Cricket	Deserted Island (Low Rank)	1
Godbug	Deserted Island (Low Rank)	1
Thunderbug	Deserted Island (Low Rank)	1
Carpenterbug	Deserted Island (Low Rank)	1
Mega Fishing Fly	Deserted Island (Low Rank)	1
Honey	Deserted Island (Low Rank)	2
Snakebee Larva	Deserted Island (Low Rank)	2
Insect Husk	Deserted Island (Low Rank)	2
Blue Mushroom	Deserted Island (Low Rank)	2
Unique Mushroom	Deserted Island (Low Rank)	2
Choice Mushroom	Deserted Island (Low Rank)	2
Dragon Toadstool	Deserted Island (Low Rank)	2
Exciteshroom	Deserted Island (Low Rank)	2
Herb	Deserted Island (Low Rank)	2
Airweed	Deserted Island (Low Rank)	2
Spider Web	Deserted Island (Low Rank)	2
Ivy	Deserted Island (Low Rank)	2
Sap Plant	Deserted Island (Low Rank)	2
Might Seed	Deserted Island (Low Rank)	2
Paintberry	Deserted Island (Low Rank)	2
Antidote Herb	Deserted Island (Low Rank)	2
Flashbug	Deserted Island (Low Rank)	2
Bitterbug	Deserted Island (Low Rank)	2
Worm	Deserted Island (Low Rank)	2
Silver Cricket	Deserted Island (Low Rank)	2
Godbug	Deserted Island (Low Rank)	2
Carpenterbug	Deserted Island (Low Rank)	2
Thunderbug	Deserted Island (Low Rank)	2
Mega Fishing Fly	Deserted Island (Low Rank)	2
Honey	Deserted Island (Low Rank)	3
Snakebee Larva	Deserted Island (Low Rank)	3
Insect Husk	Deserted Island (Low Rank)	3
Blue Mushroom	Deserted Island (Low Rank)	3
Unique Mushroom	Deserted Island (Low Rank)	3
Choice Mushroom	Deserted Island (Low Rank)	3
Exciteshroom	Deserted Island (Low Rank)	3
Dragon Toadstool	Deserted Island (Low Rank)	3
Bitterbug	Deserted Island (Low Rank)	3
Flashbug	Deserted Island (Low Rank)	3
Worm	Deserted Island (Low Rank)	3
Silver Cricket	Deserted Island (Low Rank)	3
Godbug	Deserted Island (Low Rank)	3
Thunderbug	Deserted Island (Low Rank)	3
Carpenterbug	Deserted Island (Low Rank)	3
Mega Fishing Fly	Deserted Island (Low Rank)	3
Iron Ore	Deserted Island (Low Rank)	4
Earth Crystal	Deserted Island (Low Rank)	4
Stone	Deserted Island (Low Rank)	4
Whetstone	Deserted Island (Low Rank)	4
Machalite Ore	Deserted Island (Low Rank)	4
Aquaglow Jewel	Deserted Island (Low Rank)	4
Bitterbug	Deserted Island (Low Rank)	4
Mega Fishing Fly	Deserted Island (Low Rank)	4
Carpenterbug	Deserted Island (Low Rank)	4
Godbug	Deserted Island (Low Rank)	4
Stinkhopper	Deserted Island (Low Rank)	4
Flashbug	Deserted Island (Low Rank)	4
Thunderbug	Deserted Island (Low Rank)	4
Mystery Bone	Deserted Island (Low Rank)	5
Bone	Deserted Island (Low Rank)	5
Unknown Skull	Deserted Island (Low Rank)	5
Monster Bone S	Deserted Island (Low Rank)	5
Spider Web	Deserted Island (Low Rank)	5
Worm	Deserted Island (Low Rank)	5
Stinkhopper	Deserted Island (Low Rank)	5
Insect Husk	Deserted Island (Low Rank)	5
Bitterbug	Deserted Island (Low Rank)	5
Flashbug	Deserted Island (Low Rank)	5
Bughopper	Deserted Island (Low Rank)	5
Thunderbug	Deserted Island (Low Rank)	5
Godbug	Deserted Island (Low Rank)	5
Carpenterbug	Deserted Island (Low Rank)	5
Mega Fishing Fly	Deserted Island (Low Rank)	5
Blue Mushroom	Deserted Island (Low Rank)	6
Unique Mushroom	Deserted Island (Low Rank)	6
Choice Mushroom	Deserted Island (Low Rank)	6
Bone	Deserted Island (Low Rank)	6
Mystery Bone	Deserted Island (Low Rank)	6
Unknown Skull	Deserted Island (Low Rank)	6
Monster Bone S	Deserted Island (Low Rank)	6
Whetstone	Deserted Island (Low Rank)	6
Iron Ore	Deserted Island (Low Rank)	6
Aquaglow Jewel	Deserted Island (Low Rank)	6
Machalite Ore	Deserted Island (Low Rank)	6
Herb	Deserted Island (Low Rank)	7
Felvine	Deserted Island (Low Rank)	7
Insect Husk	Deserted Island (Low Rank)	7
Whetstone	Deserted Island (Low Rank)	7
Stone	Deserted Island (Low Rank)	7
Blue Mushroom	Deserted Island (Low Rank)	7
Unique Mushroom	Deserted Island (Low Rank)	7
Choice Mushroom	Deserted Island (Low Rank)	7
Iron Ore	Deserted Island (Low Rank)	7
Earth Crystal	Deserted Island (Low Rank)	7
Aquaglow Jewel	Deserted Island (Low Rank)	7
Machalite Ore	Deserted Island (Low Rank)	7
Wyvern Egg	Deserted Island (Low Rank)	8
Monster Bone S	Deserted Island (Low Rank)	8
Bone	Deserted Island (Low Rank)	8
Mystery Bone	Deserted Island (Low Rank)	8
Dung	Deserted Island (Low Rank)	8
Machalite Ore	Deserted Island (Low Rank)	8
Iron Ore	Deserted Island (Low Rank)	8
Earth Crystal	Deserted Island (Low Rank)	8
Stone	Deserted Island (Low Rank)	8
Whetstone	Deserted Island (Low Rank)	8
Aquaglow Jewel	Deserted Island (Low Rank)	8
Huskberry	Deserted Island (Low Rank)	9
Spider Web	Deserted Island (Low Rank)	9
Insect Husk	Deserted Island (Low Rank)	9
Ivy	Deserted Island (Low Rank)	9
Sap Plant	Deserted Island (Low Rank)	9
Might Seed	Deserted Island (Low Rank)	9
Paintberry	Deserted Island (Low Rank)	9
Antidote Herb	Deserted Island (Low Rank)	9
Red Coral Stone	Deserted Island (Low Rank)	10
Broken Shell	Deserted Island (Low Rank)	10
Jumbo Pearl	Deserted Island (Low Rank)	10
Stone	Deserted Island (Low Rank)	10
Worm	Deserted Island (Low Rank)	10
Frog	Deserted Island (Low Rank)	10
Iron Ore	Deserted Island (Low Rank)	10
Whetstone	Deserted Island (Low Rank)	10
Earth Crystal	Deserted Island (Low Rank)	10
Machalite Ore	Deserted Island (Low Rank)	10
Aquaglow Jewel	Deserted Island (Low Rank)	10
Sushifish	Deserted Island (Low Rank)	10
Pin Tuna	Deserted Island (Low Rank)	10
Popfish	Deserted Island (Low Rank)	10
Small Goldenfish	Deserted Island (Low Rank)	10
Speartuna	Deserted Island (Low Rank)	10
Goldenfish	Deserted Island (Low Rank)	10
Red Coral Stone	Deserted Island (Low Rank)	11
Broken Shell	Deserted Island (Low Rank)	11
Jumbo Pearl	Deserted Island (Low Rank)	11
Stone	Deserted Island (Low Rank)	11
Bone	Deserted Island (Low Rank)	12
Mystery Bone	Deserted Island (Low Rank)	12
Iron Ore	Deserted Island (Low Rank)	12
Aquaglow Jewel	Deserted Island (Low Rank)	12
Machalite Ore	Deserted Island (Low Rank)	12
Pin Tuna	Deserted Island (High Rank)	0
Whetfish	Deserted Island (High Rank)	0
Glutton Tuna	Deserted Island (High Rank)	0
Popfish	Deserted Island (High Rank)	0
Small Goldenfish	Deserted Island (High Rank)	0
Herb	Deserted Island (High Rank)	1
Felvine	Deserted Island (High Rank)	1
Insect Husk	Deserted Island (High Rank)	1
Spider Web	Deserted Island (High Rank)	1
Airweed	Deserted Island (High Rank)	1
Ivy	Deserted Island (High Rank)	1
Sap Plant	Deserted Island (High Rank)	1
Might Seed	Deserted Island (High Rank)	1
Iron Ore	Deserted Island (High Rank)	1
Whetstone	Deserted Island (High Rank)	1
Machalite Ore	Deserted Island (High Rank)	1
Carbalite Ore	Deserted Island (High Rank)	1
Aquaglow Jewel	Deserted Island (High Rank)	1
Earth Crystal	Deserted Island (High Rank)	1
Bitterbug	Deserted Island (High Rank)	1
Flashbug	Deserted Island (High Rank)	1
King Scarab	Deserted Island (High Rank)	1
Worm	Deserted Island (High Rank)	1
Godbug	Deserted Island (High Rank)	1
Frog	Deserted Island (High Rank)	1
Thunderbug	Deserted Island (High Rank)	1
Hercudrome	Deserted Island (High Rank)	1
Carpenterbug	Deserted Island (High Rank)	1
Honey	Deserted Island (High Rank)	2
Snakebee Larva	Deserted Island (High Rank)	2
Insect Husk	Deserted Island (High Rank)	2
Blue Mushroom	Deserted Island (High Rank)	2
Unique Mushroom	Deserted Island (High Rank)	2
Choice Mushroom	Deserted Island (High Rank)	2
Dragon Toadstool	Deserted Island (High Rank)	2
Exciteshroom	Deserted Island (High Rank)	2
Herb	Deserted Island (High Rank)	2
Airweed	Deserted Island (High Rank)	2
Spider Web	Deserted Island (High Rank)	2
Ivy	Deserted Island (High Rank)	2
Sap Plant	Deserted Island (High Rank)	2
Might Seed	Deserted Island (High Rank)	2
Paintberry	Deserted Island (High Rank)	2
Antidote Herb	Deserted Island (High Rank)	2
Bitterbug	Deserted Island (High Rank)	2
Flashbug	Deserted Island (High Rank)	2
King Scarab	Deserted Island (High Rank)	2
Worm	Deserted Island (High Rank)	2
Godbug	Deserted Island (High Rank)	2
Frog	Deserted Island (High Rank)	2
Thunderbug	Deserted Island (High Rank)	2
Hercudrome	Deserted Island (High Rank)	2
Carpenterbug	Deserted Island (High Rank)	2
Honey	Deserted Island (High Rank)	3
Snakebee Larva	Deserted Island (High Rank)	3
Insect Husk	Deserted Island (High Rank)	3
Blue Mushroom	Deserted Island (High Rank)	3
Choice Mushroom	Deserted Island (High Rank)	3
Unique Mushroom	Deserted Island (High Rank)	3
Exciteshroom	Deserted Island (High Rank)	3
Dragon Toadstool	Deserted Island (High Rank)	3
Bitterbug	Deserted Island (High Rank)	3
Flashbug	Deserted Island (High Rank)	3
King Scarab	Deserted Island (High Rank)	3
Worm	Deserted Island (High Rank)	3
Godbug	Deserted Island (High Rank)	3
Frog	Deserted Island (High Rank)	3
Thunderbug	Deserted Island (High Rank)	3
Hercudrome	Deserted Island (High Rank)	3
Carpenterbug	Deserted Island (High Rank)	3
Earth Crystal	Deserted Island (High Rank)	4
Iron Ore	Deserted Island (High Rank)	4
Machalite Ore	Deserted Island (High Rank)	4
Carbalite Ore	Deserted Island (High Rank)	4
Aquaglow Jewel	Deserted Island (High Rank)	4
Armor Sphere	Deserted Island (High Rank)	4
Sunspire Jewel	Deserted Island (High Rank)	4
Bitterbug	Deserted Island (High Rank)	4
Mega Fishing Fly	Deserted Island (High Rank)	4
Carpenterbug	Deserted Island (High Rank)	4
Godbug	Deserted Island (High Rank)	4
Stinkhopper	Deserted Island (High Rank)	4
Flashbug	Deserted Island (High Rank)	4
Thunderbug	Deserted Island (High Rank)	4
Silver Cricket	Deserted Island (High Rank)	4
Insect Husk	Deserted Island (High Rank)	4
Gold Cricket	Deserted Island (High Rank)	4
Frog	Deserted Island (High Rank)	4
Hercudrome	Deserted Island (High Rank)	4
Mystery Bone	Deserted Island (High Rank)	5
Bone	Deserted Island (High Rank)	5
Unknown Skull	Deserted Island (High Rank)	5
Monster Bone S	Deserted Island (High Rank)	5
Bitterbug	Deserted Island (High Rank)	5
Flashbug	Deserted Island (High Rank)	5
Thunderbug	Deserted Island (High Rank)	5
Mega Fishing Fly	Deserted Island (High Rank)	5
King Scarab	Deserted Island (High Rank)	5
Hercudrome	Deserted Island (High Rank)	5
Silver Cricket	Deserted Island (High Rank)	5
Insect Husk	Deserted Island (High Rank)	5
Gold Cricket	Deserted Island (High Rank)	5
Godbug	Deserted Island (High Rank)	5
Frog	Deserted Island (High Rank)	5
Carpenterbug	Deserted Island (High Rank)	5
Blue Mushroom	Deserted Island (High Rank)	6
Unique Mushroom	Deserted Island (High Rank)	6
Choice Mushroom	Deserted Island (High Rank)	6
Bone	Deserted Island (High Rank)	6
Mystery Bone	Deserted Island (High Rank)	6
Unknown Skull	Deserted Island (High Rank)	6
Monster Bone S	Deserted Island (High Rank)	6
Iron Ore	Deserted Island (High Rank)	6
Whetstone	Deserted Island (High Rank)	6
Machalite Ore	Deserted Island (High Rank)	6
Carbalite Ore	Deserted Island (High Rank)	6
Aquaglow Jewel	Deserted Island (High Rank)	6
Ivy	Deserted Island (High Rank)	7
Insect Husk	Deserted Island (High Rank)	7
Whetstone	Deserted Island (High Rank)	7
Stone	Deserted Island (High Rank)	7
Blue Mushroom	Deserted Island (High Rank)	7
Unique Mushroom	Deserted Island (High Rank)	7
Choice Mushroom	Deserted Island (High Rank)	7
Iron Ore	Deserted Island (High Rank)	7
Aquaglow Jewel	Deserted Island (High Rank)	7
Machalite Ore	Deserted Island (High Rank)	7
Earth Crystal	Deserted Island (High Rank)	7
Carbalite Ore	Deserted Island (High Rank)	7
Armor Sphere	Deserted Island (High Rank)	7
Wyvern Egg	Deserted Island (High Rank)	8
Monster Bone S	Deserted Island (High Rank)	8
Bone	Deserted Island (High Rank)	8
Mystery Bone	Deserted Island (High Rank)	8
Dung	Deserted Island (High Rank)	8
Machalite Ore	Deserted Island (High Rank)	8
Armor Sphere+	Deserted Island (High Rank)	8
Aquaglow Jewel	Deserted Island (High Rank)	8
Iron Ore	Deserted Island (High Rank)	8
Earth Crystal	Deserted Island (High Rank)	8
Sunspire Jewel	Deserted Island (High Rank)	8
Huskberry	Deserted Island (High Rank)	9
Spider Web	Deserted Island (High Rank)	9
Insect Husk	Deserted Island (High Rank)	9
Ivy	Deserted Island (High Rank)	9
Sap Plant	Deserted Island (High Rank)	9
Might Seed	Deserted Island (High Rank)	9
Paintberry	Deserted Island (High Rank)	9
Antidote Herb	Deserted Island (High Rank)	9
Red Coral Stone	Deserted Island (High Rank)	10
Broken Shell	Deserted Island (High Rank)	10
Jumbo Pearl	Deserted Island (High Rank)	10
Stone	Deserted Island (High Rank)	10
Worm	Deserted Island (High Rank)	10
Frog	Deserted Island (High Rank)	10
Black Pearl	Deserted Island (High Rank)	10
Iron Ore	Deserted Island (High Rank)	10
Whetstone	Deserted Island (High Rank)	10
Earth Crystal	Deserted Island (High Rank)	10
Machalite Ore	Deserted Island (High Rank)	10
Armor Sphere+	Deserted Island (High Rank)	10
Aquaglow Jewel	Deserted Island (High Rank)	10
Sunspire Jewel	Deserted Island (High Rank)	10
Popfish	Deserted Island (High Rank)	10
Pin Tuna	Deserted Island (High Rank)	10
Whetfish	Deserted Island (High Rank)	10
Sushifish	Deserted Island (High Rank)	10
Small Goldenfish	Deserted Island (High Rank)	10
Goldenfish	Deserted Island (High Rank)	10
