name	item	drop_rate	action	rank					
Arzuros	Jumbo Bone	18	Free Hunt	Low Rank					
Arzuros	Arzuros Pelt	15	Free Hunt	Low Rank					
Arzuros	Sharpened Fang	7	Free Hunt	Low Rank					
Arzuros	Arzuros Carapace	35	Free Hunt	High Rank					
Arzuros	Stoutbone	22	Free Hunt	High Rank					
Arzuros	Arzuros Brace+	22	Free Hunt	High Rank					
Arzuros	Arzuros Pelt+	11	Free Hunt	High Rank					
Arzuros	Arzuros Shell	10	Free Hunt	High Rank					
Arzuros	Arzuros Cortex	37	Free Hunt	G Rank					
Arzuros	Arzuros Allbrace	20	Free Hunt	G Rank					
Arzuros	Crushing Fang	12	Free Hunt	G Rank					
Arzuros	Massive Bone	11	Free Hunt	G Rank					
Arzuros	Arzuros Carapace	10	Free Hunt	G Rank					
Arzuros	Arzuros Pelt+	10	Free Hunt	G Rank					
Agnaktor	Agnaktor Shell	37	Body Carve	Low Rank					
Agnaktor	Agnaktor Hide	25	Body Carve	Low Rank					
Agnaktor	Scalding Pleura	20	Body Carve	Low Rank					
Agnaktor	Agnaktor Claw	8	Body Carve	Low Rank					
Agnaktor	Agnaktor Scale	5	Body Carve	Low Rank					
Agnaktor	Firestone	5	Body Carve	Low Rank					
Agnaktor	Agnak Carapace	37	Body Carve	High Rank					
Agnaktor	Agnaktor Hide+	20	Body Carve	High Rank					
Agnaktor	Scalding Pleura+	20	Body Carve	High Rank					
Agnaktor	Agnaktor Claw+	8	Body Carve	High Rank					
Agnaktor	Agnaktor Shell	8	Body Carve	High Rank					
Agnaktor	Agnaktor Scale	4	Body Carve	High Rank					
Agnaktor	Firecell Stone	3	Body Carve	High Rank					
Agnaktor	Agnaktor Cortex	37	Body Carve	G Rank					
Agnaktor	Agnaktor Piel	20	Body Carve	G Rank					
Agnaktor	Scorching Pleura	20	Body Carve	G Rank					
Agnaktor	Agnak Carapace	12	Body Carve	G Rank					
Agnaktor	Agnaktor Talon	8	Body Carve	G Rank					
Agnaktor	Allfire Stone	3	Body Carve	G Rank					
Agnaktor	Agnaktor Tail	65	Tail Carve	Low Rank					
Agnaktor	Agnaktor Fin	27	Tail Carve	Low Rank					
Agnaktor	Firestone	8	Tail Carve	Low Rank					
Agnaktor	Agnaktor Tail	60	Tail Carve	High Rank					
Agnaktor	Agnaktor Fin+	25	Tail Carve	High Rank					
Agnaktor	Firecell Stone	8	Tail Carve	High Rank					
Agnaktor	Firestone	7	Tail Carve	High Rank					
Agnaktor	Agnaktor Tail	55	Tail Carve	G Rank					
Agnaktor	Fine Agnak Fin	27	Tail Carve	G Rank					
Agnaktor	Allfire Stone	10	Tail Carve	G Rank					
Agnaktor	Firecell Stone	8	Tail Carve	G Rank					
Agnaktor	Wyvern Tear	72	Tear	Low Rank					
Agnaktor	Agnaktor Scale	20	Tear	Low Rank					
Agnaktor	Firestone	8	Tear	Low Rank					
Agnaktor	Wyvern Tear	37	Tear	High Rank					
Agnaktor	Lrg Wyvern Tear	35	Tear	High Rank					
Agnaktor	Agnaktor Scale	20	Tear	High Rank					
Agnaktor	Firecell Stone	8	Tear	High Rank					
Agnaktor	Lrg Wyvern Tear	50	Tear	G Rank					
Agnaktor	Wyvern Tear	25	Tear	G Rank					
Agnaktor	Scorching Pleura	15	Tear	G Rank					
Agnaktor	Allfire Stone	10	Tear	G Rank					
Agnaktor	Agnaktor Hide	32	Capture	Low Rank					
Agnaktor	Agnaktor Fin	20	Capture	Low Rank					
Agnaktor	Agnaktor Scale	18	Capture	Low Rank					
Agnaktor	Agnaktor Claw	12	Capture	Low Rank					
Agnaktor	Firestone	10	Capture	Low Rank					
Agnaktor	Scalding Pleura	8	Capture	Low Rank					
Agnaktor	Agnaktor Hide+	30	Capture	High Rank					
Agnaktor	Agnaktor Fin+	23	Capture	High Rank					
Agnaktor	Agnak Carapace	16	Capture	High Rank					
Agnaktor	Agnaktor Claw+	12	Capture	High Rank					
Agnaktor	Firecell Stone	8	Capture	High Rank					
Agnaktor	Scalding Pleura+	8	Capture	High Rank					
Agnaktor	Wyvern Stone	3	Capture	High Rank					
Agnaktor	Agnaktor Piel	30	Capture	G Rank					
Agnaktor	Fine Agnak Fin	23	Capture	G Rank					
Agnaktor	Agnaktor Talon	12	Capture	G Rank					
Agnaktor	Agnaktor Fin+	10	Capture	G Rank					
Agnaktor	Allfire Stone	8	Capture	G Rank					
Agnaktor	Scorching Pleura	8	Capture	G Rank					
Agnaktor	Firecell Stone	6	Capture	G Rank					
Agnaktor	Lrg Wyvern Stone	3	Capture	G Rank					
Agnaktor	Agnaktor Beak	64	Break Part - Head	Low Rank					
Agnaktor	Agnaktor Shell	31	Break Part - Head	Low Rank					
Agnaktor	Lava Nugget	5	Break Part - Head	Low Rank					
Agnaktor	Agnaktor Beak	56	Break Part - Head	High Rank					
Agnaktor	Agnak Carapace	30	Break Part - Head	High Rank					
Agnaktor	Lava Nugget	8	Break Part - Head	High Rank					
Agnaktor	Wyvern Stone	6	Break Part - Head	High Rank					
Agnaktor	Agnaktor Beak	50	Break Part - Head	G Rank					
Agnaktor	Agnaktor Cortex	37	Break Part - Head	G Rank					
Agnaktor	Allfire Stone	10	Break Part - Head	G Rank					
Agnaktor	Lrg Wyvern Stone	3	Break Part - Head	G Rank					
Agnaktor	Scalding Pleura	55	Break Part - Breast	Low Rank					
Agnaktor	Agnaktor Hide	27	Break Part - Breast	Low Rank					
Agnaktor	Agnaktor Scale	10	Break Part - Breast	Low Rank					
Agnaktor	Firestone	8	Break Part - Breast	Low Rank					
Agnaktor	Scalding Pleura+	50	Break Part - Breast	High Rank					
Agnaktor	Agnaktor Hide+	22	Break Part - Breast	High Rank					
Agnaktor	Firecell Stone	10	Break Part - Breast	High Rank					
Agnaktor	Scalding Pleura	10	Break Part - Breast	High Rank					
Agnaktor	Agnaktor Hide	8	Break Part - Breast	High Rank					
Agnaktor	Scalding Pleura	50	Break Part - Breast	G Rank					
Agnaktor	Agnaktor Piel	22	Break Part - Breast	G Rank					
Agnaktor	Allfire Stone	10	Break Part - Breast	G Rank					
Agnaktor	Scalding Pleura+	10	Break Part - Breast	G Rank					
Agnaktor	Agnaktor Hide+	8	Break Part - Breast	G Rank					
Agnaktor	Agnaktor Scale	37	Break Part - Leg	Low Rank					
Agnaktor	Agnaktor Claw	54	Break Part - Leg	Low Rank					
Agnaktor	Firestone	9	Break Part - Leg	Low Rank					
Agnaktor	Agnaktor Claw+	52	Break Part - Leg	High Rank					
Agnaktor	Agnaktor Scale	19	Break Part - Leg	High Rank					
Agnaktor	Agnaktor Claw	12	Break Part - Leg	High Rank					
Agnaktor	Firecell Stone	12	Break Part - Leg	High Rank					
Agnaktor	Firestone	5	Break Part - Leg	High Rank					
Agnaktor	Agnaktor Talon	52	Break Part - Leg	G Rank					
Agnaktor	Agnaktor Cortex	19	Break Part - Leg	G Rank					
Agnaktor	Agnaktor Claw+	12	Break Part - Leg	G Rank					
Agnaktor	Allfire Stone	12	Break Part - Leg	G Rank					
Agnaktor	Firecell Stone	5	Break Part - Leg	G Rank					
Agnaktor	Agnaktor Fin	50	Break Part - Body/Back	Low Rank					
Agnaktor	Agnaktor Hide	32	Break Part - Body/Back	Low Rank					
Agnaktor	Agnaktor Scale	18	Break Part - Body/Back	Low Rank					
Agnaktor	Agnaktor Fin+	48	Break Part - Body/Back	High Rank					
Agnaktor	Agnaktor Hide+	30	Break Part - Body/Back	High Rank					
Agnaktor	Agnaktor Scale	10	Break Part - Body/Back	High Rank					
Agnaktor	Agnaktor Fin	8	Break Part - Body/Back	High Rank					
Agnaktor	Wyvern Stone	4	Break Part - Body/Back	High Rank					
Agnaktor	Fine Agnak Fin	59	Break Part - Body/Back	G Rank					
Agnaktor	Agnaktor Piel	30	Break Part - Body/Back	G Rank					
Agnaktor	Agnaktor Fin+	8	Break Part - Body/Back	G Rank					
Agnaktor	Lrg Wyvern Stone	3	Break Part - Body/Back	G Rank					
Agnaktor	Agnaktor Talon	22	Free Hunt	G Rank					
Agnaktor	Agnaktor Piel	22	Free Hunt	G Rank					
Agnaktor	Agnaktor Fin	20	Free Hunt	G Rank					
Agnaktor	Agnaktor Cortex	13	Free Hunt	G Rank					
Agnaktor	Scorching Pleura	10	Free Hunt	G Rank					
Agnaktor	Allfire Stone	8	Free Hunt	G Rank					
Agnaktor	Lrg Wyvern Stone	5	Free Hunt	G Rank					
Glacial Agnaktor	G.Agnak Carapace	40	Body Carve	High Rank					
Glacial Agnaktor	Dewy Pleura+	27	Body Carve	High Rank					
Glacial Agnaktor	G.Agnak Hide+	20	Body Carve	High Rank					
Glacial Agnaktor	G.Agnak Claw+	8	Body Carve	High Rank					
Glacial Agnaktor	Gracium	5	Body Carve	High Rank					
Glacial Agnaktor	G.Agnak Cortex	40	Body Carve	G Rank					
Glacial Agnaktor	Drenched Pleura	27	Body Carve	G Rank					
Glacial Agnaktor	G.Agnak Piel	20	Body Carve	G Rank					
Glacial Agnaktor	G.Agnak Talon	8	Body Carve	G Rank					
Glacial Agnaktor	Gracium	5	Body Carve	G Rank					
Glacial Agnaktor	G.Agnak Tail	65	Tail Carve	High Rank					
Glacial Agnaktor	G.Agnak Fin+	27	Tail Carve	High Rank					
Glacial Agnaktor	Gracium	8	Tail Carve	High Rank					
Glacial Agnaktor	G.Agnak Tail	65	Tail Carve	G Rank					
Glacial Agnaktor	Fine G.Agnak Fin	27	Tail Carve	G Rank					
Glacial Agnaktor	Gracium	8	Tail Carve	G Rank					
Glacial Agnaktor	Wyvern Tear	38	Tear	High Rank					
Glacial Agnaktor	Lrg Wyvern Tear	37	Tear	High Rank					
Glacial Agnaktor	Gracium	15	Tear	High Rank					
Glacial Agnaktor	G.Agnak Carapace	10	Tear	High Rank					
Glacial Agnaktor	Lrg Wyvern Tear	50	Tear	G Rank					
Glacial Agnaktor	Wyvern Tear	25	Tear	G Rank					
Glacial Agnaktor	G.Agnak Cortex	15	Tear	G Rank					
Glacial Agnaktor	Gracium	10	Tear	G Rank					
Glacial Agnaktor	G.Agnak Hide+	30	Capture	High Rank					
Glacial Agnaktor	G.Agnak Fin+	24	Capture	High Rank					
Glacial Agnaktor	Dewy Pleura+	12	Capture	High Rank					
Glacial Agnaktor	Gracium	11	Capture	High Rank					
Glacial Agnaktor	G.Agnak Beak	10	Capture	High Rank					
Glacial Agnaktor	G.Agnak Claw+	10	Capture	High Rank					
Glacial Agnaktor	Wyvern Stone	3	Capture	High Rank					
Glacial Agnaktor	G.Agnak Piel	30	Capture	G Rank					
Glacial Agnaktor	Fine G.Agnak Fin	23	Capture	G Rank					
Glacial Agnaktor	Drenched Pleura	12	Capture	G Rank					
Glacial Agnaktor	Gracium	11	Capture	G Rank					
Glacial Agnaktor	G.Agnak Beak	10	Capture	G Rank					
Glacial Agnaktor	G.Agnak Talon	10	Capture	G Rank					
Glacial Agnaktor	Lrg Wyvern Stone	4	Capture	G Rank					
Glacial Agnaktor	G.Agnak Beak	64	Break Part - Head	High Rank					
Glacial Agnaktor	G.Agnak Carapace	30	Break Part - Head	High Rank					
Glacial Agnaktor	Wyvern Stone	6	Break Part - Head	High Rank					
Glacial Agnaktor	G.Agnak Beak	67	Break Part - Head	G Rank					
Glacial Agnaktor	G.Agnak Cortex	30	Break Part - Head	G Rank					
Glacial Agnaktor	Lrg Wyvern Stone	3	Break Part - Head	G Rank					
Glacial Agnaktor	G.Agnak Claw+	80	Break Part - Leg	High Rank					
Glacial Agnaktor	Gracium	12	Break Part - Leg	High Rank					
Glacial Agnaktor	Isisium	8	Break Part - Leg	High Rank					
Glacial Agnaktor	G.Agnak Talon	65	Break Part - Leg	G Rank					
Glacial Agnaktor	G.Agnak Claw+	23	Break Part - Leg	G Rank					
Glacial Agnaktor	Gracium	12	Break Part - Leg	G Rank					
Glacial Agnaktor	G.Agnak Fin+	61	Break Part - Body/Back	High Rank					
Glacial Agnaktor	G.Agnak Hide+	35	Break Part - Body/Back	High Rank					
Glacial Agnaktor	Wyvern Stone	4	Break Part - Body/Back	High Rank					
Glacial Agnaktor	Fine G.Agnak Fin	61	Break Part - Body/Back	G Rank					
Glacial Agnaktor	G.Agnak Piel	36	Break Part - Body/Back	G Rank					
Glacial Agnaktor	Lrg Wyvern Stone	3	Break Part - Body/Back	G Rank					
Glacial Agnaktor	G.Agnak Fin+	22	Free Hunt	High Rank					
Glacial Agnaktor	G.Agnak Claw+	20	Free Hunt	High Rank					
Glacial Agnaktor	G.Agnak Hide+	20	Free Hunt	High Rank					
Glacial Agnaktor	Dewy Pleura+	12	Free Hunt	High Rank					
Glacial Agnaktor	Gracium	11	Free Hunt	High Rank					
Glacial Agnaktor	G.Agnak Beak	10	Free Hunt	High Rank					
Glacial Agnaktor	Wyvern Stone	5	Free Hunt	High Rank					
Glacial Agnaktor	Fine G.Agnak Fin	23	Free Hunt	G Rank					
Glacial Agnaktor	G.Agnak Talon	20	Free Hunt	G Rank					
Glacial Agnaktor	G.Agnak Piel	20	Free Hunt	G Rank					
Glacial Agnaktor	Drenched Pleura	12	Free Hunt	G Rank					
Glacial Agnaktor	Gracium	10	Free Hunt	G Rank					
Glacial Agnaktor	G.Agnak Beak	10	Free Hunt	G Rank					
Glacial Agnaktor	Lrg Wyvern Stone	5	Free Hunt	G Rank					
Barioth	Barioth Shell	43	Body Carve	Low Rank					
Barioth	Frost Sac	28	Body Carve	Low Rank					
Barioth	Barioth Pelt	19	Body Carve	Low Rank					
Barioth	Amber Tusks	10	Body Carve	Low Rank					
Barioth	Barioth Carapace	35	Body Carve	High Rank					
Barioth	Freezer Sac	25	Body Carve	High Rank					
Barioth	Barioth Pelt+	18	Body Carve	High Rank					
Barioth	Amber Tusks+	12	Body Carve	High Rank					
Barioth	Barioth Pelt	10	Body Carve	High Rank					
Barioth	Barioth Cortex	35	Body Carve	G Rank					
Barioth	Cryo Sac	25	Body Carve	G Rank					
Barioth	Barioth Fur	18	Body Carve	G Rank					
Barioth	Hvy Amber Tusks	12	Body Carve	G Rank					
Barioth	Barioth Pelt+	10	Body Carve	G Rank					
Barioth	Barioth Tail	60	Tail Carve	Low Rank					
Barioth	Barioth Shell	24	Tail Carve	Low Rank					
Barioth	Barioth Spike	16	Tail Carve	Low Rank					
Barioth	Barioth Tail	44	Tail Carve	High Rank					
Barioth	Barioth Carapace	30	Tail Carve	High Rank					
Barioth	Barioth Spike	12	Tail Carve	High Rank					
Barioth	Barioth Shell	10	Tail Carve	High Rank					
Barioth	Wyvern Stone	4	Tail Carve	High Rank					
Barioth	Barioth Lash	56	Tail Carve	G Rank					
Barioth	Barioth Cortex	30	Tail Carve	G Rank					
Barioth	Barioth Carapace	10	Tail Carve	G Rank					
Barioth	Lrg Wyvern Stone	4	Tail Carve	G Rank					
Barioth	Wyvern Tear	75	Tear	Low Rank					
Barioth	Barioth Spike	15	Tear	Low Rank					
Barioth	Frost Sac	10	Tear	Low Rank					
Barioth	Wyvern Tear	38	Tear	High Rank					
Barioth	Lrg Wyvern Tear	37	Tear	High Rank					
Barioth	Freezer Sac	20	Tear	High Rank					
Barioth	Barioth Spike	5	Tear	High Rank					
Barioth	Lrg Wyvern Tear	50	Tear	G Rank					
Barioth	Cryo Sac	25	Tear	G Rank					
Barioth	Wyvern Tear	25	Tear	G Rank					
Barioth	Barioth Pelt	27	Capture	Low Rank					
Barioth	Barioth Spike	20	Capture	Low Rank					
Barioth	Frost Sac	20	Capture	Low Rank					
Barioth	Amber Tusks	18	Capture	Low Rank					
Barioth	Barioth Claw	15	Capture	Low Rank					
Barioth	Barioth Pelt+	26	Capture	High Rank					
Barioth	Freezer Sac	20	Capture	High Rank					
Barioth	Amber Tusks	16	Capture	High Rank					
Barioth	Barioth Claw+	14	Capture	High Rank					
Barioth	Barioth Spike	12	Capture	High Rank					
Barioth	Frost Sac	8	Capture	High Rank					
Barioth	Wyvern Stone	4	Capture	High Rank					
Barioth	Barioth Fur	31	Capture	G Rank					
Barioth	Cryo Sac	21	Capture	G Rank					
Barioth	Hvy Amber Tusks	18	Capture	G Rank					
Barioth	Barioth Talon	18	Capture	G Rank					
Barioth	Freezer Sac	9	Capture	G Rank					
Barioth	Lrg Wyvern Stone	3	Capture	G Rank					
Barioth	Amber Tusks	55	Break Part - Fang	Low Rank					
Barioth	Barioth Shell	25	Break Part - Fang	Low Rank					
Barioth	Frost Sac	20	Break Part - Fang	Low Rank					
Barioth	Amber Tusks+	50	Break Part - Fang	High Rank					
Barioth	Barioth Carapace	25	Break Part - Fang	High Rank					
Barioth	Freezer Sac	15	Break Part - Fang	High Rank					
Barioth	Amber Tusks	10	Break Part - Fang	High Rank					
Barioth	Hvy Amber Tusks	50	Break Part - Fang	G Rank					
Barioth	Barioth Cortex	25	Break Part - Fang	G Rank					
Barioth	Cryo Sac	15	Break Part - Fang	G Rank					
Barioth	Amber Tusks+	10	Break Part - Fang	G Rank					
Barioth	Barioth Claw	78	Break Part - Thorns	Low Rank					
Barioth	Barioth Spike	12	Break Part - Thorns	Low Rank					
Barioth	Barioth Pelt	10	Break Part - Thorns	Low Rank					
Barioth	Barioth Claw+	74	Break Part - Thorns	High Rank					
Barioth	Barioth Pelt+	10	Break Part - Thorns	High Rank					
Barioth	Barioth Claw	8	Break Part - Thorns	High Rank					
Barioth	Barioth Spike	8	Break Part - Thorns	High Rank					
Barioth	Barioth Talon	74	Break Part - Thorns	G Rank					
Barioth	Barioth Claw+	16	Break Part - Thorns	G Rank					
Barioth	Barioth Fur	10	Break Part - Thorns	G Rank					
Barioth	Amber Tusks+	18	Free Hunt	High Rank					
Barioth	Barioth Pelt+	18	Free Hunt	High Rank					
Barioth	Barioth Claw+	16	Free Hunt	High Rank					
Barioth	Freezer Sac	15	Free Hunt	High Rank					
Barioth	Barioth Carapace	15	Free Hunt	High Rank					
Barioth	Barioth Spike	12	Free Hunt	High Rank					
Barioth	Wyvern Stone	6	Free Hunt	High Rank					
Barioth	Hvy Amber Tusks	18	Free Hunt	G Rank					
Barioth	Barioth Fur	18	Free Hunt	G Rank					
Barioth	Barioth Talon	16	Free Hunt	G Rank					
Barioth	Cryo Sac	15	Free Hunt	G Rank					
Barioth	Barioth Cortex	15	Free Hunt	G Rank					
Barioth	Freezer Sac	14	Free Hunt	G Rank					
Barioth	Lrg Wyvern Stone	4	Free Hunt	G Rank					
Sand Barioth	S.Bari Carapace	43	Body Carve	High Rank					
Sand Barioth	Rugged Pleura	25	Body Carve	High Rank					
Sand Barioth	S.Barioth Pelt+	20	Body Carve	High Rank					
Sand Barioth	Indigo Tusks+	12	Body Carve	High Rank					
Sand Barioth	S.Barioth Cortex	35	Body Carve	G Rank					
Sand Barioth	Rugged Pleura+	25	Body Carve	G Rank					
Sand Barioth	S.Barioth Fur	18	Body Carve	G Rank					
Sand Barioth	Hvy Indigo Tusks	12	Body Carve	G Rank					
Sand Barioth	S.Barioth Pelt+	10	Body Carve	G Rank					
Sand Barioth	S.Barioth Tail	70	Tail Carve	High Rank					
Sand Barioth	S.Bari Carapace	25	Tail Carve	High Rank					
Sand Barioth	Wyvern Stone	5	Tail Carve	High Rank					
Sand Barioth	S.Barioth Lash	60	Tail Carve	G Rank					
Sand Barioth	S.Barioth Cortex	25	Tail Carve	G Rank					
Sand Barioth	S.Bari Carapace	10	Tail Carve	G Rank					
Sand Barioth	Lrg Wyvern Stone	5	Tail Carve	G Rank					
Sand Barioth	Wyvern Tear	38	Tear	High Rank					
Sand Barioth	Lrg Wyvern Tear	37	Tear	High Rank					
Sand Barioth	Rugged Pleura	25	Tear	High Rank					
Sand Barioth	Lrg Wyvern Tear	50	Tear	G Rank					
Sand Barioth	Rugged Pleura+	25	Tear	G Rank					
Sand Barioth	Wyvern Tear	25	Tear	G Rank					
Sand Barioth	S.Barioth Pelt+	34	Capture	High Rank					
Sand Barioth	Rugged Pleura	26	Capture	High Rank					
Sand Barioth	Indigo Tusks+	20	Capture	High Rank					
Sand Barioth	S.Barioth Claw+	16	Capture	High Rank					
Sand Barioth	Wyvern Stone	4	Capture	High Rank					
Sand Barioth	S.Barioth Fur	31	Capture	G Rank					
Sand Barioth	Rugged Pleura+	21	Capture	G Rank					
Sand Barioth	Hvy Indigo Tusks	18	Capture	G Rank					
Sand Barioth	S.Barioth Talon	18	Capture	G Rank					
Sand Barioth	Rugged Pleura	9	Capture	G Rank					
Sand Barioth	Lrg Wyvern Stone	3	Capture	G Rank					
Sand Barioth	Indigo Tusks+	50	Break Part - Fang	High Rank					
Sand Barioth	S.Bari Carapace	30	Break Part - Fang	High Rank					
Sand Barioth	Rugged Pleura	20	Break Part - Fang	High Rank					
Sand Barioth	Hvy Indigo Tusks	50	Break Part - Fang	G Rank					
Sand Barioth	S.Barioth Cortex	25	Break Part - Fang	G Rank					
Sand Barioth	Rugged Pleura+	15	Break Part - Fang	G Rank					
Sand Barioth	Indigo Tusks+	10	Break Part - Fang	G Rank					
Sand Barioth	S.Barioth Claw+	74	Break Part - Thorns	High Rank					
Sand Barioth	S.Barioth Pelt+	26	Break Part - Thorns	High Rank					
Sand Barioth	S.Barioth Talon	74	Break Part - Thorns	G Rank					
Sand Barioth	S.Barioth Claw+	16	Break Part - Thorns	G Rank					
Sand Barioth	S.Barioth Fur	10	Break Part - Thorns	G Rank					
Sand Barioth	Indigo Tusks+	21	Free Hunt	High Rank					
Sand Barioth	S.Barioth Pelt+	21	Free Hunt	High Rank					
Sand Barioth	S.Barioth Claw+	18	Free Hunt	High Rank					
Sand Barioth	Rugged Pleura	17	Free Hunt	High Rank					
Sand Barioth	S.Bari Carapace	17	Free Hunt	High Rank					
Sand Barioth	Wyvern Stone	6	Free Hunt	High Rank					
Sand Barioth	Hvy Indigo Tusks	18	Free Hunt	G Rank					
Sand Barioth	S.Barioth Fur	18	Free Hunt	G Rank					
Sand Barioth	S.Barioth Talon	16	Free Hunt	G Rank					
Sand Barioth	Rugged Pleura+	15	Free Hunt	G Rank					
Sand Barioth	S.Barioth Cortex	15	Free Hunt	G Rank					
Sand Barioth	Rugged Pleura	14	Free Hunt	G Rank					
Sand Barioth	Lrg Wyvern Stone	4	Free Hunt	G Rank					
Barroth	Barroth Shell	46	Body Carve	Low Rank					
Barroth	Barroth Ridge	29	Body Carve	Low Rank					
Barroth	Barroth Scalp	15	Body Carve	Low Rank					
Barroth	Barroth Claw	10	Body Carve	Low Rank					
Barroth	Barroth Carapace	42	Body Carve	High Rank					
Barroth	Barroth Ridge+	30	Body Carve	High Rank					
Barroth	Barroth Claw	18	Body Carve	High Rank					
Barroth	Barroth Scalp	10	Body Carve	High Rank					
Barroth	Barroth Cortex	44	Body Carve	G Rank					
Barroth	Barroth Chine	28	Body Carve	G Rank					
Barroth	Barroth Talon	18	Body Carve	G Rank					
Barroth	Barroth Crown	10	Body Carve	G Rank					
Barroth	Barroth Scalp	80	Head Carve	Low Rank					
Barroth	Barroth Ridge	20	Head Carve	Low Rank					
Barroth	Barroth Scalp	58	Head Carve	High Rank					
Barroth	Barroth Ridge+	34	Head Carve	High Rank					
Barroth	Barroth Ridge	5	Head Carve	High Rank					
Barroth	Wyvern Stone	3	Head Carve	High Rank					
Barroth	Barroth Crown	75	Head Carve	G Rank					
Barroth	Barroth Chine	25	Head Carve	G Rank					
Barroth	Barroth Tail	70	Tail Carve	Low Rank					
Barroth	Barroth Ridge	30	Tail Carve	Low Rank					
Barroth	Barroth Tail	55	Tail Carve	High Rank					
Barroth	Barroth Ridge+	32	Tail Carve	High Rank					
Barroth	Barroth Ridge	10	Tail Carve	High Rank					
Barroth	Wyvern Stone	3	Tail Carve	High Rank					
Barroth	Barroth Lash	72	Tail Carve	G Rank					
Barroth	Barroth Chine	25	Tail Carve	G Rank					
Barroth	Lrg Wyvern Stone	3	Tail Carve	G Rank					
Barroth	Wyvern Tear	75	Tear	Low Rank					
Barroth	Fertile Mud	20	Tear	Low Rank					
Barroth	Barroth Ridge	5	Tear	Low Rank					
Barroth	Wyvern Tear	38	Tear	High Rank					
Barroth	Lrg Wyvern Tear	37	Tear	High Rank					
Barroth	Fertile Mud	15	Tear	High Rank					
Barroth	Barroth Ridge+	10	Tear	High Rank					
Barroth	Lrg Wyvern Tear	50	Tear	G Rank					
Barroth	Barroth Chine	25	Tear	G Rank					
Barroth	Wyvern Tear	25	Tear	G Rank					
